"player.ids","scores","team_type","date"
1,4,"a",2019-04-13
8,8,"a",2019-04-13
7,6,"a",2019-04-13
5,3,"a",2019-04-13
2,5,"a",2019-04-13
10,5,"b",2019-04-13
9,4,"b",2019-04-13
6,4,"b",2019-04-13
4,9,"b",2019-04-13
3,7,"b",2019-04-13
3,7,"a",2019-04-14
1,4,"a",2019-04-14
8,8,"a",2019-04-14
2,5,"a",2019-04-14
6,4,"a",2019-04-14
10,5,"b",2019-04-14
9,4,"b",2019-04-14
7,6,"b",2019-04-14
5,3,"b",2019-04-14
4,9,"b",2019-04-14
7,6,"a",2019-04-15
9,4,"a",2019-04-15
2,5,"a",2019-04-15
6,4,"a",2019-04-15
3,7,"a",2019-04-15
10,5,"b",2019-04-15
8,8,"b",2019-04-15
5,3,"b",2019-04-15
4,9,"b",2019-04-15
1,4,"b",2019-04-15
